spectral_type,temperature,solar_luminosities,stage
O5,54000,200000,main_sequence
O6,45000,140000,main_sequence
O7,43300,120000,main_sequence
O8,40600,80000,main_sequence
O9,37800,55000,main_sequence
B0,29200,24000,main_sequence
B1,23000,5550,main_sequence
B2,21000,3190,main_sequence
B3,17600,1060,main_sequence
B5,15200,380,main_sequence
B6,14300,240,main_sequence
B7,13500,140,main_sequence
B8,12300,73,main_sequence
B9,11400,42,main_sequence
A0,9600,24,main_sequence
A1,9330,20,main_sequence
A2,9040,17,main_sequence
A3,8750,14,main_sequence
A4,8480,12,main_sequence
A5,8310,11,main_sequence
A7,7920,8.8,main_sequence
F0,7350,5.1,main_sequence
F2,7050,3.8,main_sequence
F3,6850,3.2,main_sequence
F5,6700,2.7,main_sequence
F6,6550,2,main_sequence
F7,6400,1.5,main_sequence
F8,6300,1.4,main_sequence
G0,6050,1.2,main_sequence
G1,5930,1.1,main_sequence
G2,5800,1,main_sequence
G5,5660,0.73,main_sequence
G8,5440,0.51,main_sequence
K0,5240,0.38,main_sequence
K1,5110,0.32,main_sequence
K2,4960,0.29,main_sequence
K3,4800,0.24,main_sequence
K4,4600,0.18,main_sequence
K5,4400,0.15,main_sequence
K7,4000,0.11,main_sequence
M0,3750,0.08,main_sequence
M1,3700,0.055,main_sequence
M2,3600,0.035,main_sequence
M3,3500,0.027,main_sequence
M4,3400,0.022,main_sequence
M5,3200,0.011,main_sequence
M6,3100,0.0051,main_sequence
M7,2900,0.0032,main_sequence
M8,2700,0.002,main_sequence
L0,2600,0.00029,main_sequence
L3,2200,0.00013,main_sequence
L8,1500,0.000032,main_sequence
T2,1400,0.000025,main_sequence
T6,1000,0.0000056,main_sequence
T8,800,0.0000036,main_sequence
G5,5010,127,giant
G8,4870,113,giant
K0,4720,96,giant
K1,4580,82,giant
K2,4460,70,giant
K3,4210,58,giant
K4,4010,45,giant
K5,3780,32,giant
M0,3660,15,giant
M1,3600,13,giant
M2,3500,11,giant
M3,3300,9.5,giant
M4,3100,7.4,giant
M5,2950,5.1,giant
M6,2800,3.3,giant
B0,21000,320000,supergiant
B1,16000,280000,supergiant
B2,14000,220000,supergiant
B3,12800,180000,supergiant
B5,11500,140000,supergiant
B6,11000,98000,supergiant
B7,10500,82000,supergiant
B8,10000,73000,supergiant
B9,9700,61000,supergiant
A0,9400,50600,supergiant
A1,9100,44000,supergiant
A2,8900,40000,supergiant
A5,8300,36000,supergiant
F0,7500,20000,supergiant
F2,7200,18000,supergiant
F5,6800,16000,supergiant
F8,6150,12000,supergiant
G0,5800,9600,supergiant
G2,5500,9500,supergiant
G5,5100,9800,supergiant
G8,5050,11000,supergiant
K0,4900,12000,supergiant
K1,4700,13500,supergiant
K2,4500,15200,supergiant
K3,4300,17000,supergiant
K4,4100,18300,supergiant
K5,3750,20000,supergiant
M0,3660,50600,supergiant
M1,3600,52000,supergiant
M2,3500,53000,supergiant
M3,3300,54000,supergiant
M4,3100,56000,supergiant
M5,2950,58000,supergiant
