"spectral_type","unknown1","unknown2","unknown3","unknown4","unknown5"
"o5",0.26382793,94.02732533,34.87437307,11.89514345,70.85637791
"a1",14.65788771,100.93318195,19.22082531,1.71798673,72.99830811
"a5",18.05359525,106.23316507,14.58905405,4.96208437,75.68964173
"b0",0.41539669,91.13967497,38.10592859,11.47135723,69.49971333
"b6",4.65986107,105.09062305,27.61745885,3.32231489,78.10517193
"f0",27.47432687,115.40068295,10.36316333,13.64693217,81.28743327
"f5",33.79639803,107.34137663,5.84184125,20.58821729,73.47007115
"g0",33.07904536,94.06020354,2.91191664,19.81433206,62.38377672
"k0",36.48936514,40.10366074,5.0453776,31.13907154,19.67725034
"k5",74.29679039,6.36869155,46.54035211,73.88371609,3.59489801
"m0",81.05223717,1.41510185,65.80652523,83.51349015,4.66346073
"m5",70.62877149,4.45516761,59.34400025,73.99499455,6.20204369
